Row,B3_DATUM_B_LOC,B3_REF_OD,C1_LOC_INSIDE_PLN,C4_LOC_TOP_PLN,B3_THICK1_WALL,B3_THICK2_WALL,B3_THICK3_WALL,B3_THICK4_WALL,Layout,BuildDate,Powder,MeasureSeq,Nonconformity,RowID,ColID,PlateID
La1,0.4171,0.4476,0.0539,0.2659,0.0158,0.016,0.0149,0.0164,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,1,1,L
La2,0.4164,0.4478,0.0534,0.2662,0.0168,0.0167,0.0152,0.0141,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,1,2,L
La3,0.4173,0.4479,0.0541,0.2668,0.0151,0.0163,0.0155,0.0151,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,1,3,L
La4,0.4172,0.4485,0.0531,0.2663,0.0155,0.0157,0.0183,0.0147,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,1,4,L
La5,0.4175,0.4487,0.0541,0.2663,0.0153,0.0153,0.0156,0.0153,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,1,5,L
La6,0.4178,0.4488,0.0534,0.2661,0.0155,0.0166,0.0164,0.0155,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,1,6,L
La7,0.4176,0.4497,0.0536,0.266,0.016,0.017,0.0157,0.0154,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,1,7,L
La8,0.4166,0.448,0.0529,0.2653,0.0148,0.0159,0.0164,0.0155,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,1,8,L
La9,0.4172,0.4486,0.0526,0.2646,0.0165,0.0159,0.0159,0.0156,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,1,9,L
La10,0.4163,0.4483,0.0519,0.2646,0.0152,0.0154,0.0152,0.0151,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,1,10,L
La11,0.4161,0.448,0.0508,0.264,0.0157,0.0158,0.0148,0.0153,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,1,11,L
Lb1,0.4169,0.4478,0.0535,0.2669,0.0148,0.0152,0.0148,0.0147,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,2,1,L
Lb3,0.4179,0.4484,0.0535,0.2671,0.0148,0.0156,0.0156,0.0147,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,2,3,L
Lb4,0.417,0.4486,0.0545,0.2671,0.0149,0.0144,0.0159,0.0158,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,2,4,L
Lb5,0.4172,0.4489,0.0541,0.2668,0.0146,0.0151,0.0154,0.0155,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,2,5,L
Lb7,0.4178,0.449,0.0538,0.2665,0.0159,0.0145,0.0158,0.0159,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,2,7,L
Lb8,0.4177,0.4484,0.0534,0.2656,0.0163,0.016,0.0162,0.0157,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,2,8,L
Lb9,0.417,0.4485,0.0523,0.2658,0.0158,0.0169,0.0154,0.0152,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,2,9,L
Lb11,0.4173,0.4492,0.0511,0.2647,0.0156,0.0163,0.0167,0.0148,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,2,11,L
Lc1,0.4178,0.4488,0.0539,0.2666,0.015,0.0143,0.0144,0.0153,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,3,1,L
Lc2,0.4175,0.4482,0.0534,0.2668,0.0161,0.0154,0.0166,0.0161,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,3,2,L
Lc3,0.4181,0.4491,0.0543,0.2669,0.0152,0.0153,0.0148,0.0152,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,3,3,L
Lc4,0.4176,0.4479,0.0542,0.2674,0.0151,0.0144,0.0158,0.0164,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,3,4,L
Lc5,0.4167,0.4479,0.0542,0.267,0.0156,0.0163,0.0152,0.0156,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,3,5,L
Lc6,0.4175,0.448,0.0535,0.267,0.0153,0.0153,0.0148,0.0152,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,3,6,L
Lc7,0.4178,0.4483,0.0535,0.2667,0.0154,0.0149,0.0158,0.0156,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,3,7,L
Lc8,0.4172,0.4488,0.0533,0.2656,0.0154,0.015,0.0145,0.0164,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,3,8,L
Lc9,0.4172,0.4488,0.0529,0.2657,0.0157,0.0165,0.0152,0.0153,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,3,9,L
Lc10,0.4178,0.4487,0.052,0.2653,0.0154,0.0161,0.0148,0.0163,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,3,10,L
Lc11,0.4175,0.4485,0.0509,0.2648,0.0153,0.0159,0.0158,0.0155,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,3,11,L
Ld1,0.4172,0.4485,0.0534,0.2666,0.0147,0.0159,0.0148,0.0153,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,4,1,L
Ld2,0.4175,0.4482,0.0534,0.2669,0.0159,0.0157,0.0153,0.0153,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,4,2,L
Ld3,0.4172,0.4479,0.054,0.2667,0.0163,0.0157,0.0164,0.0152,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,4,3,L
Ld4,0.4175,0.448,0.0542,0.2673,0.0148,0.0147,0.0167,0.016,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,4,4,L
Ld5,0.4174,0.4484,0.0546,0.267,0.0143,0.0153,0.0145,0.0149,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,4,5,L
Ld6,0.4179,0.448,0.054,0.2672,0.0149,0.0161,0.015,0.0156,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,4,6,L
Ld7,0.417,0.4481,0.0534,0.2661,0.0156,0.0156,0.015,0.0148,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,4,7,L
Ld8,0.4177,0.4483,0.0532,0.2664,0.0157,0.0157,0.0151,0.0164,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,4,8,L
Ld9,0.4175,0.448,0.053,0.2663,0.0153,0.0161,0.0142,0.0152,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,4,9,L
Ld10,0.4171,0.4481,0.0521,0.2655,0.0154,0.0157,0.0152,0.0167,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,4,10,L
Ld11,0.4175,0.4484,0.0512,0.2658,0.0158,0.0152,0.0157,0.0162,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,4,11,L
Le1,0.4181,0.4483,0.0534,0.2664,0.0156,0.016,0.0162,0.0147,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,5,1,L
Le2,0.4175,0.4478,0.0539,0.2668,0.0151,0.0154,0.0151,0.0151,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,5,2,L
Le3,0.4171,0.4485,0.0537,0.2671,0.0151,0.0162,0.0163,0.0157,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,5,3,L
Le4,0.4174,0.4482,0.0539,0.2672,0.0149,0.0154,0.0143,0.0144,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,5,4,L
Le5,0.4177,0.4481,0.054,0.267,0.0154,0.0147,0.0149,0.0156,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,5,5,L
Le6,0.4166,0.4484,0.0542,0.2673,0.0153,0.0154,0.0157,0.0158,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,5,6,L
Le7,0.418,0.448,0.0539,0.2669,0.0149,0.0151,0.0152,0.0149,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,5,7,L
Le8,0.4178,0.4485,0.053,0.2667,0.015,0.0151,0.0154,0.0162,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,5,8,L
Le9,0.4174,0.4478,0.0534,0.2662,0.015,0.016,0.0153,0.0165,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,5,9,L
Le10,0.4172,0.4494,0.0527,0.2657,0.0156,0.0146,0.0158,0.0147,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,5,10,L
Le11,0.4174,0.4481,0.0512,0.2654,0.0156,0.0151,0.0159,0.0152,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,5,11,L
Lf1,0.4175,0.4482,0.0527,0.2671,0.0162,0.0152,0.0152,0.0165,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,6,1,L
Lf3,0.4182,0.4484,0.054,0.2677,0.015,0.0157,0.0152,0.0164,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,6,3,L
Lf4,0.4175,0.4486,0.0542,0.2668,0.0155,0.0161,0.0145,0.0166,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,6,4,L
Lf5,0.4174,0.4481,0.0543,0.267,0.015,0.0146,0.0149,0.0151,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,6,5,L
Lf7,0.4181,0.4491,0.0539,0.2669,0.015,0.0158,0.0152,0.0165,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,6,7,L
Lf8,0.4175,0.4483,0.0537,0.2664,0.0157,0.0148,0.0155,0.016,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,6,8,L
Lf9,0.418,0.4491,0.0521,0.2664,0.0157,0.0153,0.0152,0.0151,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,6,9,L
Lf11,0.4179,0.449,0.0521,0.2654,0.0145,0.0167,0.0154,0.0166,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,6,11,L
Lg1,0.4176,0.4479,0.0531,0.2671,0.0153,0.016,0.0156,0.0149,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,7,1,L
Lg2,0.4174,0.4477,0.0534,0.2669,0.0152,0.0147,0.0147,0.0155,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,7,2,L
Lg3,0.4177,0.4481,0.055,0.2665,0.0152,0.0156,0.0149,0.0149,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,7,3,L
Lg4,0.4176,0.4491,0.0545,0.2671,0.0157,0.0145,0.016,0.0158,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,7,4,L
Lg5,0.4175,0.4482,0.0549,0.2674,0.0156,0.0146,0.015,0.0149,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,7,5,L
Lg6,0.4182,0.4492,0.0541,0.2671,0.016,0.0156,0.0146,0.0162,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,7,6,L
Lg7,0.4176,0.4483,0.0545,0.2667,0.0159,0.0157,0.0148,0.0156,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,7,7,L
Lg8,0.4174,0.4472,0.0533,0.2663,0.0151,0.0153,0.0162,0.0153,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,7,8,L
Lg9,0.4175,0.4483,0.053,0.2662,0.0147,0.0159,0.015,0.0155,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,7,9,L
Lg10,0.4172,0.4487,0.0525,0.2659,0.0151,0.0153,0.0148,0.0152,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,7,10,L
Lg11,0.4177,0.4486,0.0518,0.2652,0.0149,0.0155,0.0151,0.0155,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,7,11,L
Lh1,0.4181,0.449,0.0532,0.2668,0.0145,0.0161,0.0165,0.0148,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,8,1,L
Lh2,0.4172,0.4486,0.0542,0.2673,0.0162,0.0164,0.0155,0.0161,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,8,2,L
Lh3,0.417,0.4486,0.0542,0.2674,0.0156,0.0155,0.0155,0.0154,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,8,3,L
Lh4,0.4169,0.4482,0.0543,0.2673,0.0153,0.0148,0.0158,0.0164,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,8,4,L
Lh5,0.4176,0.4485,0.0546,0.2671,0.015,0.015,0.0149,0.0169,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,8,5,L
Lh6,0.4177,0.4489,0.0546,0.2679,0.0156,0.0148,0.0146,0.0171,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,8,6,L
Lh7,0.417,0.4495,0.0541,0.2671,0.0171,0.0154,0.015,0.0157,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,8,7,L
Lh8,0.4166,0.4479,0.0534,0.267,0.0162,0.0152,0.0157,0.0168,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,8,8,L
Lh9,0.4173,0.4486,0.0537,0.2659,0.0157,0.0155,0.0159,0.0158,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,8,9,L
Lh10,0.417,0.4489,0.0521,0.2658,0.0168,0.0161,0.016,0.0156,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,8,10,L
Lh11,0.4186,0.4497,0.0525,0.2657,0.0159,0.0154,0.0155,0.0168,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,8,11,L
Li1,0.4172,0.4485,0.0538,0.2673,0.015,0.017,0.0155,0.0157,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,9,1,L
Li2,0.4172,0.4489,0.0542,0.2669,0.0156,0.0157,0.0166,0.0159,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,9,2,L
Li3,0.4176,0.4485,0.0547,0.267,0.0147,0.0149,0.0145,0.0161,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,9,3,L
Li4,0.4169,0.4481,0.0545,0.2669,0.0157,0.0159,0.0155,0.0152,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,9,4,L
Li5,0.4167,0.4482,0.0546,0.2669,0.0148,0.0155,0.016,0.0165,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,9,5,L
Li6,0.4172,0.4486,0.0543,0.2674,0.0149,0.0154,0.0152,0.0155,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,9,6,L
Li7,0.4166,0.4485,0.0542,0.2665,0.0148,0.0157,0.0158,0.0157,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,9,7,L
Li8,0.4173,0.4487,0.0538,0.2669,0.0153,0.016,0.0155,0.0153,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,9,8,L
Li9,0.4165,0.4489,0.0527,0.2658,0.0163,0.0162,0.0153,0.0156,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,9,9,L
Li10,0.4172,0.449,0.0522,0.2657,0.0152,0.0153,0.015,0.0161,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,9,10,L
Li11,0.4166,0.4489,0.0519,0.2656,0.0152,0.0162,0.0159,0.016,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,9,11,L
LJ1,0.4169,0.4483,0.0533,0.2663,0.0157,0.0154,0.0167,0.0162,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,10,1,L
LJ3,0.4169,0.4488,0.0547,0.2674,0.016,0.0159,0.016,0.016,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,10,3,L
LJ4,0.4167,0.4482,0.0538,0.2667,0.0156,0.0153,0.0161,0.0167,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,10,4,L
LJ5,0.4162,0.4477,0.0538,0.2671,0.0153,0.0154,0.0161,0.0162,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,10,5,L
LJ7,0.4167,0.448,0.0549,0.2665,0.0164,0.0154,0.0152,0.0158,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,10,7,L
LJ8,0.417,0.4487,0.0537,0.267,0.0162,0.0166,0.0154,0.0167,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,10,8,L
LJ9,0.4172,0.4484,0.053,0.266,0.0152,0.0169,0.0162,0.0164,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,10,9,L
LJ11,0.416,0.4496,0.0512,0.2651,0.0158,0.0162,0.0167,0.0158,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,10,11,L
Lk1,0.4166,0.4488,0.054,0.2664,0.0167,0.0167,0.016,0.0165,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,11,1,L
Lk2,0.4169,0.4492,0.0536,0.2664,0.0159,0.0157,0.0153,0.0168,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,11,2,L
Lk3,0.417,0.4492,0.0535,0.2668,0.016,0.0155,0.0155,0.0166,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,11,3,L
Lk4,0.4163,0.449,0.0542,0.2674,0.0157,0.016,0.0151,0.0166,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,11,4,L
Lk5,0.4164,0.4482,0.0539,0.2674,0.0154,0.0164,0.0151,0.0157,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,11,5,L
Lk6,0.4175,0.4488,0.0533,0.2675,0.0153,0.0166,0.0157,0.0166,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,11,6,L
Lk7,0.4163,0.448,0.0534,0.2665,0.0158,0.0162,0.0153,0.0164,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,11,7,L
Lk8,0.4167,0.4488,0.0524,0.2666,0.0155,0.0156,0.0154,0.0157,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,11,8,L
Lk9,0.417,0.4497,0.0532,0.266,0.0154,0.0164,0.0154,0.0169,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,11,9,L
Lk10,0.4169,0.449,0.0522,0.2655,0.0162,0.0162,0.0164,0.0165,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,11,10,L
Lk11,0.4158,0.4474,0.052,0.2659,0.0158,0.0164,0.0156,0.017,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,11,11,L
Ma1,0.4168,0.4485,0.0542,0.2674,0.0146,0.0165,0.0152,0.0173,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,1,1,M
Ma2,0.416,0.4486,0.0541,0.2668,0.0158,0.0164,0.0155,0.0157,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,1,2,M
Ma3,0.4167,0.4485,0.0546,0.2678,0.0159,0.0156,0.0162,0.0172,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,1,3,M
Ma4,0.4171,0.4485,0.0547,0.2676,0.017,0.0165,0.0149,0.0157,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,1,4,M
Ma5,0.4161,0.4489,0.0547,0.2664,0.0152,0.0161,0.016,0.0154,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,1,5,M
Ma6,0.4167,0.4489,0.0545,0.2671,0.0154,0.0179,0.0174,0.0174,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,1,6,M
Ma7,0.4172,0.4491,0.0539,0.2663,0.0155,0.0154,0.0153,0.0175,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,1,7,M
Ma8,0.4162,0.4485,0.0546,0.266,0.0152,0.0164,0.0151,0.0163,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,1,8,M
Ma9,0.4162,0.4492,0.0532,0.2654,0.0159,0.0177,0.0155,0.0166,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,1,9,M
Ma10,0.416,0.4493,0.053,0.2655,0.0161,0.0169,0.0153,0.0162,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,1,10,M
Ma11,0.4158,0.4479,0.053,0.2653,0.0163,0.017,0.0167,0.0159,11X11TA,8/23/2019,Recycled,PreEDM,TRUE,1,11,M
Mb1,0.4161,0.4483,0.0549,0.2683,0.0154,0.017,0.0154,0.0155,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,2,1,M
Mb3,0.4168,0.4491,0.0552,0.2683,0.0164,0.0164,0.015,0.0162,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,2,3,M
Mb4,0.4163,0.4481,0.0552,0.268,0.0171,0.016,0.0161,0.0166,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,2,4,M
Mb5,0.4166,0.4487,0.0555,0.2677,0.0153,0.0158,0.017,0.0164,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,2,5,M
Mb7,0.4173,0.4496,0.0553,0.268,0.0153,0.0156,0.016,0.0164,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,2,7,M
Mb8,0.4167,0.4497,0.0542,0.2677,0.0157,0.0158,0.0161,0.0163,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,2,8,M
Mb9,0.4166,0.4482,0.0543,0.2663,0.016,0.0158,0.0169,0.0167,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,2,9,M
Mb11,0.4164,0.4495,0.0525,0.2656,0.0156,0.0154,0.0158,0.0172,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,2,11,M
Mc1,0.4167,0.4491,0.0554,0.2673,0.0157,0.0148,0.0159,0.0158,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,3,1,M
Mc2,0.4175,0.449,0.056,0.2683,0.0168,0.0154,0.016,0.0158,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,3,2,M
Mc3,0.4173,0.4487,0.0554,0.2685,0.0153,0.0178,0.0161,0.0154,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,3,3,M
Mc4,0.417,0.4495,0.0547,0.2681,0.015,0.017,0.0164,0.0159,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,3,4,M
Mc5,0.4171,0.4487,0.0554,0.268,0.0158,0.0164,0.0163,0.0154,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,3,5,M
Mc6,0.4171,0.449,0.0546,0.2676,0.0149,0.0156,0.0158,0.0153,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,3,6,M
Mc7,0.4168,0.4494,0.0549,0.2672,0.0156,0.0158,0.0155,0.0154,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,3,7,M
Mc8,0.4171,0.449,0.0544,0.2671,0.0162,0.0157,0.0156,0.0159,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,3,8,M
Mc9,0.4163,0.449,0.054,0.2665,0.015,0.0172,0.0157,0.0163,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,3,9,M
Mc10,0.417,0.4492,0.0532,0.2663,0.0162,0.0161,0.0166,0.0157,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,3,10,M
Mc11,0.4169,0.4493,0.0525,0.2654,0.0165,0.0155,0.018,0.017,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,3,11,M
Md1,0.4175,0.4478,0.0546,0.2675,0.0155,0.0167,0.0156,0.0148,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,4,1,M
Md2,0.4174,0.4483,0.0551,0.268,0.0152,0.0161,0.0158,0.0151,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,4,2,M
Md3,0.4164,0.4483,0.0547,0.2682,0.0162,0.0155,0.0155,0.0162,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,4,3,M
Md4,0.4169,0.4482,0.0553,0.2685,0.0152,0.0155,0.0152,0.0157,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,4,4,M
Md5,0.4167,0.448,0.0562,0.2686,0.016,0.0165,0.0148,0.0155,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,4,5,M
Md6,0.4172,0.4491,0.0548,0.2677,0.0162,0.0153,0.0175,0.0163,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,4,6,M
Md7,0.4168,0.4488,0.0553,0.2676,0.0162,0.0155,0.0151,0.0163,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,4,7,M
Md8,0.4166,0.4489,0.0551,0.2671,0.0167,0.0158,0.0156,0.0164,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,4,8,M
Md9,0.4167,0.4493,0.0544,0.2677,0.016,0.0166,0.0167,0.0162,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,4,9,M
Md10,0.4164,0.4485,0.0539,0.2673,0.0159,0.0166,0.0165,0.0171,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,4,10,M
Md11,0.4172,0.4487,0.0532,0.267,0.0162,0.0159,0.0156,0.0153,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,4,11,M
Me1,0.418,0.4492,0.0551,0.2682,0.0149,0.0164,0.0163,0.015,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,5,1,M
Me2,0.4169,0.4485,0.0551,0.2682,0.0155,0.0156,0.0159,0.0165,11X11TA,8/23/2019,Recycled,PreEDM,FALSE,5,2,M
